Code,Trouble Code System,Condition Description,Full_Description,Possible_Causes,Diagnostic_Aids,Application,Context_For_RAG
P0533,Powertrain,A/C Refrigerant Pressure Sensor A Circuit High,"The ACP sensor inputs a voltage to the powertrain control module (PCM). If the voltage
is above a calibrated level the DTC sets.
Possible (cid:1) ACP sensor circuit short to PWR
Causes: (cid:1) ACP circuit open
(cid:1) ACP circuit short to VREF
(cid:1) Damaged ACP sensor
Diagnostic Verify the VREF voltage is between 4 and 6 volts.
Aids:",N/A,N/A,,"DTC Code: P0533
Title: A/C Refrigerant Pressure Sensor A Circuit High
System Description: The ACP sensor inputs a voltage to the powertrain control module (PCM). If the voltage
is above a calibrated level the DTC sets.
Possible (cid:1) ACP sensor circuit short to PWR
Causes: (cid:1) ACP circuit open
(cid:1) ACP circuit short to VREF
(cid:1) Damaged ACP sensor
Diagnostic Verify the VREF voltage is between 4 and 6 volts.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0534,Powertrain,A/C Refrigerant Charge Loss,"Indicates frequent A/C compressor clutch cycling.
Possible (cid:1) Mechanical A/C system concern (such as low refrigerant charge, damaged A/C
Causes: cycling switch)
(cid:1) Intermittent open between the cycling pressure switch and the powertrain control
module (PCM)
(cid:1) Intermittent open in the IGN RUN circuit to cycling pressure switch (if applicable)
Diagnostic This test is designed to protect the transmission. In some strategies, the PCM unlocks the
Aids: torque converter during A/C clutch engagement. If a concern is present that results in
frequent A/C clutch cycling, damage could occur if the torque converter is cycled at these
intervals. This test detects this condition, sets the DTC and prevents the torque converter
from excessive cycling.",N/A,N/A,,"DTC Code: P0534
Title: A/C Refrigerant Charge Loss
System Description: Indicates frequent A/C compressor clutch cycling.
Possible (cid:1) Mechanical A/C system concern (such as low refrigerant charge, damaged A/C
Causes: cycling switch)
(cid:1) Intermittent open between the cycling pressure switch and the powertrain control
module (PCM)
(cid:1) Intermittent open in the IGN RUN circuit to cycling pressure switch (if applicable)
Diagnostic This test is designed to protect the transmission. In some strategies, the PCM unlocks the
Aids: torque converter during A/C clutch engagement. If a concern is present that results in
frequent A/C clutch cycling, damage could occur if the torque converter is cycled at these
intervals. This test detects this condition, sets the DTC and prevents the torque converter
from excessive cycling.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0537,Powertrain,A/C Evaporator Temperature Sensor Circuit Low,"Indicates the ACET signal input was less than the self-test minimum. The self-test minimum
is 0.13 volts.
Possible (cid:1) ACET circuit short to ground or SIG RTN
Causes: (cid:1) Damaged ACET sensor
Diagnostic The powertrain control module (PCM) sources a low current 5 volts on the ACET circuit
Aids: (this voltage can be measured with the sensor disconnected). As the A/C evaporator air
temperature changes, the ACET circuit resistance to SIG RTN (ground) changes (which
changes the voltage the PCM detects). When the ACET signal is detected below the self-
test minimum, check for shorts to the SIG RTN or ground, which would pull the voltage low.",N/A,N/A,,"DTC Code: P0537
Title: A/C Evaporator Temperature Sensor Circuit Low
System Description: Indicates the ACET signal input was less than the self-test minimum. The self-test minimum
is 0.13 volts.
Possible (cid:1) ACET circuit short to ground or SIG RTN
Causes: (cid:1) Damaged ACET sensor
Diagnostic The powertrain control module (PCM) sources a low current 5 volts on the ACET circuit
Aids: (this voltage can be measured with the sensor disconnected). As the A/C evaporator air
temperature changes, the ACET circuit resistance to SIG RTN (ground) changes (which
changes the voltage the PCM detects). When the ACET signal is detected below the self-
test minimum, check for shorts to the SIG RTN or ground, which would pull the voltage low.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0538,Powertrain,A/C Evaporator Temperature Sensor Circuit High,"Indicates the ACET signal input was greater than the self-test maximum. The self-test
maximum is 4.5 volts.
Possible (cid:1) ACET circuit open
Causes: (cid:1) SIG RTN circuit open to the ACET sensor
(cid:1) ACET circuit short to voltage (VREF)
(cid:1) Damaged ACET sensor
Diagnostic The powertrain control module (PCM) sources a low current 5 volts on the ACET circuit
Aids: (this voltage can be measured with the sensor disconnected). As the A/C evaporator air
temperature changes, the ACET circuit resistance to SIG RTN (ground) changes (which
changes the voltage the PCM detects). When the ACET signal is detected above the self-
test maximum, check for open circuits (ACET or SIG RTN), which would cause the voltage
to remain high. Although not as probable, also check for a short to voltage (VREF).",N/A,N/A,,"DTC Code: P0538
Title: A/C Evaporator Temperature Sensor Circuit High
System Description: Indicates the ACET signal input was greater than the self-test maximum. The self-test
maximum is 4.5 volts.
Possible (cid:1) ACET circuit open
Causes: (cid:1) SIG RTN circuit open to the ACET sensor
(cid:1) ACET circuit short to voltage (VREF)
(cid:1) Damaged ACET sensor
Diagnostic The powertrain control module (PCM) sources a low current 5 volts on the ACET circuit
Aids: (this voltage can be measured with the sensor disconnected). As the A/C evaporator air
temperature changes, the ACET circuit resistance to SIG RTN (ground) changes (which
changes the voltage the PCM detects). When the ACET signal is detected above the self-
test maximum, check for open circuits (ACET or SIG RTN), which would cause the voltage
to remain high. Although not as probable, also check for a short to voltage (VREF).
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0552,Powertrain,Power Steering Pressure (PSP) Sensor/Switch Circuit Low,Indicates the PSP sensor input signal was less than the self-test minimum.,"(cid:1) PSP sensor damaged
(cid:1) SIG RTN circuit open
(cid:1) VREF circuit open or shorted
(cid:1) PSP sensor signal circuit open or shorted",View the PSP PID to monitor the PSP input.,,"DTC Code: P0552
Title: Power Steering Pressure (PSP) Sensor/Switch Circuit Low
System Description: Indicates the PSP sensor input signal was less than the self-test minimum.
Possible Causes: (cid:1) PSP sensor damaged
(cid:1) SIG RTN circuit open
(cid:1) VREF circuit open or shorted
(cid:1) PSP sensor signal circuit open or shorted
Diagnostic Steps/Aids: View the PSP PID to monitor the PSP input.
Vehicle Application: "
P0553,Powertrain,Power Steering Pressure (PSP) Sensor Circuit High Input,Indicates the PSP sensor input signal was greater than the self-test maximum.,"(cid:1) PSP sensor damaged
(cid:1) VREF circuit shorted to voltage
(cid:1) PSP sensor signal circuit open
(cid:1) PSP sensor signal circuit shorted to voltage",View the PSP PID to monitor the PSP input.,,"DTC Code: P0553
Title: Power Steering Pressure (PSP) Sensor Circuit High Input
System Description: Indicates the PSP sensor input signal was greater than the self-test maximum.
Possible Causes: (cid:1) PSP sensor damaged
(cid:1) VREF circuit shorted to voltage
(cid:1) PSP sensor signal circuit open
(cid:1) PSP sensor signal circuit shorted to voltage
Diagnostic Steps/Aids: View the PSP PID to monitor the PSP input.
Vehicle Application: "
P0579,Powertrain,Cruise Control Multifunction Input A Circuit Range / Performance,,,,,"DTC Code: P0579
Title: Cruise Control Multifunction Input A Circuit Range / Performance
System Description: 
Possible Causes: 
Diagnostic Steps/Aids: 
Vehicle Application: "
P0581,Powertrain,Cruise Control Multifunction Input A Circuit High,,,,,"DTC Code: P0581
Title: Cruise Control Multifunction Input A Circuit High
System Description: 
Possible Causes: 
Diagnostic Steps/Aids: 
Vehicle Application: "
P0600,Powertrain,Serial Communication Link,"Indicates an error occurred in the powertrain control module (PCM). This DTC may be
set alone or in combination with P2105.
Possible (cid:1) Damaged PCM
Causes:
Diagnostic
Aids:",N/A,N/A,,"DTC Code: P0600
Title: Serial Communication Link
System Description: Indicates an error occurred in the powertrain control module (PCM). This DTC may be
set alone or in combination with P2105.
Possible (cid:1) Damaged PCM
Causes:
Diagnostic
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0602,Powertrain,Powertrain Control Module (PCM) Programming Error,"This DTC indicates a programming error within the vehicle ID (VID) block.
Possible (cid:1) VID data corrupted by the scan tool during VID reprogramming
Causes:
Diagnostic Using the scan tool, reprogram the VID block. If the PCM does not allow reprogramming
Aids: of the VID block, reflashing of the PCM is required.",N/A,N/A,,"DTC Code: P0602
Title: Powertrain Control Module (PCM) Programming Error
System Description: This DTC indicates a programming error within the vehicle ID (VID) block.
Possible (cid:1) VID data corrupted by the scan tool during VID reprogramming
Causes:
Diagnostic Using the scan tool, reprogram the VID block. If the PCM does not allow reprogramming
Aids: of the VID block, reflashing of the PCM is required.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0603,Powertrain,Internal Control Module Keep Alive Memory (KAM) Error,"Indicates the powertrain control module (PCM) has experienced an internal memory
concern. However, there are external items that can cause this DTC.
Possible (cid:1) Reprogramming
Causes: (cid:1) Battery terminal corrosion
(cid:1) KAPWR to PCM interrupt/open
(cid:1) Loose battery connection
Diagnostic If KAPWR is interrupted to the PCM because of a battery or PCM disconnect, this DTC
Aids: can be generated on the first power-up.",N/A,N/A,,"DTC Code: P0603
Title: Internal Control Module Keep Alive Memory (KAM) Error
System Description: Indicates the powertrain control module (PCM) has experienced an internal memory
concern. However, there are external items that can cause this DTC.
Possible (cid:1) Reprogramming
Causes: (cid:1) Battery terminal corrosion
(cid:1) KAPWR to PCM interrupt/open
(cid:1) Loose battery connection
Diagnostic If KAPWR is interrupted to the PCM because of a battery or PCM disconnect, this DTC
Aids: can be generated on the first power-up.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0604,Powertrain,Internal Control Module Random Access Memory (RAM) Error,"Indicates the powertrain control module (PCM) RAM has been corrupted.
Possible (cid:1) Module reprogramming
Causes: (cid:1) Aftermarket performance products.
(cid:1) Damaged PCM
Diagnostic
Aids:",N/A,N/A,,"DTC Code: P0604
Title: Internal Control Module Random Access Memory (RAM) Error
System Description: Indicates the powertrain control module (PCM) RAM has been corrupted.
Possible (cid:1) Module reprogramming
Causes: (cid:1) Aftermarket performance products.
(cid:1) Damaged PCM
Diagnostic
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0605,Powertrain,Internal Control Module Read Only Memory (ROM) Error,"The powertrain control module (PCM) ROM has been corrupted.
Possible (cid:1) An attempt was made to change the calibration
Causes: (cid:1) Module programming error
(cid:1) Damaged PCM
Diagnostic
Aids:",N/A,N/A,,"DTC Code: P0605
Title: Internal Control Module Read Only Memory (ROM) Error
System Description: The powertrain control module (PCM) ROM has been corrupted.
Possible (cid:1) An attempt was made to change the calibration
Causes: (cid:1) Module programming error
(cid:1) Damaged PCM
Diagnostic
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0606,Powertrain,Control Module Processor,"This DTC indicates a register readback (powertrain control module [PCM] internal
communications) error.
Possible (cid:1) Damaged PCM
Causes:
Diagnostic Internal PCM concern. Install a new PCM.
Aids:",N/A,N/A,,"DTC Code: P0606
Title: Control Module Processor
System Description: This DTC indicates a register readback (powertrain control module [PCM] internal
communications) error.
Possible (cid:1) Damaged PCM
Causes:
Diagnostic Internal PCM concern. Install a new PCM.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0607,Powertrain,Control Module Performance,"Indicates that the powertrain control module (PCM) internal central processing unit (CPU)
has encountered an error. The PCM monitors itself and carries out internal checks of its
own CPU. If any of these checks returns an incorrect value, the DTC is set.
Possible (cid:1) Module programming error
Causes: (cid:1) Aftermarket performance products
(cid:1) Damaged PCM
Diagnostic
Aids:",N/A,N/A,,"DTC Code: P0607
Title: Control Module Performance
System Description: Indicates that the powertrain control module (PCM) internal central processing unit (CPU)
has encountered an error. The PCM monitors itself and carries out internal checks of its
own CPU. If any of these checks returns an incorrect value, the DTC is set.
Possible (cid:1) Module programming error
Causes: (cid:1) Aftermarket performance products
(cid:1) Damaged PCM
Diagnostic
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P060A,Powertrain,Internal Control Module Monitoring Processor Performance,"Indicates an error occurred in the powertrain control module (PCM). This DTC is set in
combination with P2105.
Possible (cid:1) Software incompatibility issue
Causes: (cid:1) Damaged PCM
Diagnostic Verify the PCM is at the latest calibration level.
Aids:",N/A,N/A,,"DTC Code: P060A
Title: Internal Control Module Monitoring Processor Performance
System Description: Indicates an error occurred in the powertrain control module (PCM). This DTC is set in
combination with P2105.
Possible (cid:1) Software incompatibility issue
Causes: (cid:1) Damaged PCM
Diagnostic Verify the PCM is at the latest calibration level.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P060B,Powertrain,Internal Control Module A/D Processing Performance,"Indicates an error occurred in the powertrain control module (PCM). This DTC is set in
combination with P2104 or P2110.
Possible (cid:1) Damaged PCM
Causes:
Diagnostic Inspect the harness for damage. Verify correct operation of the sensors using VREF and
Aids: related circuits.",N/A,N/A,,"DTC Code: P060B
Title: Internal Control Module A/D Processing Performance
System Description: Indicates an error occurred in the powertrain control module (PCM). This DTC is set in
combination with P2104 or P2110.
Possible (cid:1) Damaged PCM
Causes:
Diagnostic Inspect the harness for damage. Verify correct operation of the sensors using VREF and
Aids: related circuits.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P060C,Powertrain,Internal Control Module Main Processor Performance,Indicates an error occurred in the powertrain control module (PCM).,"(cid:1) Software incompatibility issue
(cid:1) Damaged PCM",Verify the PCM is at the latest calibration level.,,"DTC Code: P060C
Title: Internal Control Module Main Processor Performance
System Description: Indicates an error occurred in the powertrain control module (PCM).
Possible Causes: (cid:1) Software incompatibility issue
(cid:1) Damaged PCM
Diagnostic Steps/Aids: Verify the PCM is at the latest calibration level.
Vehicle Application: "
P0610,Powertrain,Control Module Vehicle Options Error,Indicates a powertrain control module (PCM) vehicle options error.,"(cid:1) Module reprogramming
(cid:1) Aftermarket performance products.
(cid:1) PCM",,,"DTC Code: P0610
Title: Control Module Vehicle Options Error
System Description: Indicates a powertrain control module (PCM) vehicle options error.
Possible Causes: (cid:1) Module reprogramming
(cid:1) Aftermarket performance products.
(cid:1) PCM
Diagnostic Steps/Aids: 
Vehicle Application: "
P061B,Powertrain,Internal Control Module Torque Calculation Performance,"Indicates a calculation error occurred in the powertrain control module (PCM).
Possible
Causes:
Diagnostic Check for sensor and circuit related DTCs. Do not install a new electronic throttle body
Aids: (ETB) for this DTC.",N/A,N/A,,"DTC Code: P061B
Title: Internal Control Module Torque Calculation Performance
System Description: Indicates a calculation error occurred in the powertrain control module (PCM).
Possible
Causes:
Diagnostic Check for sensor and circuit related DTCs. Do not install a new electronic throttle body
Aids: (ETB) for this DTC.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P061C,Powertrain,Internal Control Module Engine RPM Performance,Indicates a calculation error occurred in the powertrain control module (PCM).,"(cid:1) Crankshaft position (CKP) sensor circuit is open or short
(cid:1) CKP sensor circuit intermittent
(cid:1) Damaged CKP sensor
(cid:1) Camshaft position (CMP) sensor circuit is open or short
(cid:1) CMP sensor circuit intermittent
(cid:1) Damaged CMP sensor
(cid:1) Damaged PCM",Verify correct operation of the CKP and CMP sensors and related circuits.,,"DTC Code: P061C
Title: Internal Control Module Engine RPM Performance
System Description: Indicates a calculation error occurred in the powertrain control module (PCM).
Possible Causes: (cid:1) Crankshaft position (CKP) sensor circuit is open or short
(cid:1) CKP sensor circuit intermittent
(cid:1) Damaged CKP sensor
(cid:1) Camshaft position (CMP) sensor circuit is open or short
(cid:1) CMP sensor circuit intermittent
(cid:1) Damaged CMP sensor
(cid:1) Damaged PCM
Diagnostic Steps/Aids: Verify correct operation of the CKP and CMP sensors and related circuits.
Vehicle Application: "
P061D,Powertrain,Internal Control Module Engine Air Mass Performance,Indicates an error occurred in the powertrain control module (PCM).,"(cid:1) Software incompatibility issue
(cid:1) Damaged PCM",Verify the PCM is at the latest calibration level.,,"DTC Code: P061D
Title: Internal Control Module Engine Air Mass Performance
System Description: Indicates an error occurred in the powertrain control module (PCM).
Possible Causes: (cid:1) Software incompatibility issue
(cid:1) Damaged PCM
Diagnostic Steps/Aids: Verify the PCM is at the latest calibration level.
Vehicle Application: "
P061F,Powertrain,Internal Control Module Throttle Actuator Controller Performance,"Indicates an error occurred in the powertrain control module (PCM).
Possible
Causes:",N/A,"Verify correct operation of the electronic throttle control (ETC) components and related
circuits.",,"DTC Code: P061F
Title: Internal Control Module Throttle Actuator Controller Performance
System Description: Indicates an error occurred in the powertrain control module (PCM).
Possible
Causes:
Possible Causes: N/A
Diagnostic Steps/Aids: Verify correct operation of the electronic throttle control (ETC) components and related
circuits.
Vehicle Application: "
P0620,Powertrain,Generator Control Circuit,"The powertrain control module (PCM) reads the GENLI and sends a DTC through the
network when the GENLI indicates a concern.
Possible (cid:1) I-line control (ILC) circuit short to ground
Causes: (cid:1) ILC circuit short to voltage
(cid:1) ILC circuit open
(cid:1) GENLI circuit short to voltage or ground
(cid:1) GENLI circuit open
(cid:1) B+ circuit open
(cid:1) Generator drive mechanism
(cid:1) Damaged generator/regulator assembly
(cid:1) Damaged PCM
Diagnostic Verify the battery voltage is 14.5 volts. Verify the generator/regulator has the correct part
Aids: number.",N/A,N/A,,"DTC Code: P0620
Title: Generator Control Circuit
System Description: The powertrain control module (PCM) reads the GENLI and sends a DTC through the
network when the GENLI indicates a concern.
Possible (cid:1) I-line control (ILC) circuit short to ground
Causes: (cid:1) ILC circuit short to voltage
(cid:1) ILC circuit open
(cid:1) GENLI circuit short to voltage or ground
(cid:1) GENLI circuit open
(cid:1) B+ circuit open
(cid:1) Generator drive mechanism
(cid:1) Damaged generator/regulator assembly
(cid:1) Damaged PCM
Diagnostic Verify the battery voltage is 14.5 volts. Verify the generator/regulator has the correct part
Aids: number.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0622,Powertrain,Generator Field Terminal Circuit,"The powertrain control module (PCM) monitors the generator load from the
generator/regulator in the form of frequency. The frequency range is determined by the
temperature of the voltage regulator, where 97% indicates a full load, and less than 6%
indicates no load.
Possible (cid:1) GENLI circuit short to voltage or ground
Causes: (cid:1) GENLI circuit open
(cid:1) GENRC circuit short to voltage or ground
(cid:1) GENRC circuit open
(cid:1) ILC circuit short to voltage or ground
(cid:1) ILC circuit open
(cid:1) Battery-sense circuit open
(cid:1) Generator drive mechanism
(cid:1) Damaged generator/regulator assembly
(cid:1) Damaged PCM
Diagnostic Verify the battery voltage is 14.5 volts. Verify the generator/regulator has the correct part
Aids: number.",N/A,N/A,,"DTC Code: P0622
Title: Generator Field Terminal Circuit
System Description: The powertrain control module (PCM) monitors the generator load from the
generator/regulator in the form of frequency. The frequency range is determined by the
temperature of the voltage regulator, where 97% indicates a full load, and less than 6%
indicates no load.
Possible (cid:1) GENLI circuit short to voltage or ground
Causes: (cid:1) GENLI circuit open
(cid:1) GENRC circuit short to voltage or ground
(cid:1) GENRC circuit open
(cid:1) ILC circuit short to voltage or ground
(cid:1) ILC circuit open
(cid:1) Battery-sense circuit open
(cid:1) Generator drive mechanism
(cid:1) Damaged generator/regulator assembly
(cid:1) Damaged PCM
Diagnostic Verify the battery voltage is 14.5 volts. Verify the generator/regulator has the correct part
Aids: number.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0625,Powertrain,Generator Field Terminal Circuit Low,"The powertrain control module (PCM) monitors generator load from the generator/regulator
in the form of frequency. The concern indicates the input is lower than the load should be
in normal operation. The load input could be low when no generator output exists.
Possible (cid:1) GENRC circuit short to ground
Causes: (cid:1) GENLI circuit short to ground
(cid:1) Open B+ wire during operation
(cid:1) Low system voltage
(cid:1) Broken generator belt
(cid:1) Damaged generator/regulator assembly
Diagnostic Verify the battery voltage is 14.5 volts. Verify the generator/regulator has the correct part
Aids: number.",N/A,N/A,,"DTC Code: P0625
Title: Generator Field Terminal Circuit Low
System Description: The powertrain control module (PCM) monitors generator load from the generator/regulator
in the form of frequency. The concern indicates the input is lower than the load should be
in normal operation. The load input could be low when no generator output exists.
Possible (cid:1) GENRC circuit short to ground
Causes: (cid:1) GENLI circuit short to ground
(cid:1) Open B+ wire during operation
(cid:1) Low system voltage
(cid:1) Broken generator belt
(cid:1) Damaged generator/regulator assembly
Diagnostic Verify the battery voltage is 14.5 volts. Verify the generator/regulator has the correct part
Aids: number.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0626,Powertrain,Generator Field Terminal Circuit High,"The powertrain control module (PCM) monitors generator load from the generator/regulator
in the form of frequency. The concern indicates the input is higher than the load should be
in normal operation. The load input could be high when a battery short to ground exists.
Possible (cid:1) GENLI circuit short to voltage
Causes: (cid:1) GENRC circuit short to voltage
(cid:1) B+ open prior to start-up
(cid:1) Open GENRC prior to start-up
(cid:1) Open ILC prior to start-up
Diagnostic Verify the battery voltage is 14.5 volts. Verify the generator/regulator has the correct part
Aids: number.",N/A,N/A,,"DTC Code: P0626
Title: Generator Field Terminal Circuit High
System Description: The powertrain control module (PCM) monitors generator load from the generator/regulator
in the form of frequency. The concern indicates the input is higher than the load should be
in normal operation. The load input could be high when a battery short to ground exists.
Possible (cid:1) GENLI circuit short to voltage
Causes: (cid:1) GENRC circuit short to voltage
(cid:1) B+ open prior to start-up
(cid:1) Open GENRC prior to start-up
(cid:1) Open ILC prior to start-up
Diagnostic Verify the battery voltage is 14.5 volts. Verify the generator/regulator has the correct part
Aids: number.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P062C,Powertrain,Internal Control Module Vehicle Speed Performance,"Indicates an error occurred in the powertrain control module (PCM).
Possible (cid:1) Module communications network concerns
Causes: (cid:1) Output shaft speed (OSS) sensor concern
(cid:1) Turbine shaft speed (TSS) sensor concern
(cid:1) Anti-lock brake system (ABS) concern",N/A,"Repair any ABS DTCs, ABS-related DTCs in other modules, or vehicle communication
concerns.",,"DTC Code: P062C
Title: Internal Control Module Vehicle Speed Performance
System Description: Indicates an error occurred in the powertrain control module (PCM).
Possible (cid:1) Module communications network concerns
Causes: (cid:1) Output shaft speed (OSS) sensor concern
(cid:1) Turbine shaft speed (TSS) sensor concern
(cid:1) Anti-lock brake system (ABS) concern
Possible Causes: N/A
Diagnostic Steps/Aids: Repair any ABS DTCs, ABS-related DTCs in other modules, or vehicle communication
concerns.
Vehicle Application: "
P0642,Powertrain,Sensor Reference Voltage A Circuit Low,Indicates the reference voltage (VREF) circuit is lower than VREF minimum.,"(cid:1) VREF short to ground
(cid:1) Damaged sensor
(cid:1) Incorrect harness connection",This DTC is set due to an under voltage condition on the VREF circuit.,,"DTC Code: P0642
Title: Sensor Reference Voltage A Circuit Low
System Description: Indicates the reference voltage (VREF) circuit is lower than VREF minimum.
Possible Causes: (cid:1) VREF short to ground
(cid:1) Damaged sensor
(cid:1) Incorrect harness connection
Diagnostic Steps/Aids: This DTC is set due to an under voltage condition on the VREF circuit.
Vehicle Application: "
P0643,Powertrain,Sensor Reference Voltage A Circuit High,Indicates the reference voltage (VREF) circuit is higher than VREF maximum.,"(cid:1) VREF short to voltage
(cid:1) Damaged sensor
(cid:1) Incorrect harness connection",This DTC is set due to an over voltage condition on the VREF circuit.,,"DTC Code: P0643
Title: Sensor Reference Voltage A Circuit High
System Description: Indicates the reference voltage (VREF) circuit is higher than VREF maximum.
Possible Causes: (cid:1) VREF short to voltage
(cid:1) Damaged sensor
(cid:1) Incorrect harness connection
Diagnostic Steps/Aids: This DTC is set due to an over voltage condition on the VREF circuit.
Vehicle Application: "
P0645,Powertrain,Air Conditioning Clutch Relay (A/CCR) Control Circuit,"Monitors the A/CCR circuit output from the powertrain control module (PCM). The test fails
when the PCM grounds the A/CCR circuit, excessive current draw is detected on the
A/CCR circuit; or, with the A/CCR circuit not grounded by the PCM, voltage is not detected
on the A/CCR circuit (the PCM expects to detect VPWR voltage coming through the A/CCR
relay coil to the A/CCR circuit).
Possible (cid:1) Open or short A/CCR circuit
Causes: (cid:1) Damaged A/CCR relay
(cid:1) Open VPWR circuit to the A/CCR relay
Diagnostic The A/CCR control circuit can be monitored using the WACF and WAC PID.
Aids: When the WACF PID reads YES, a concern is present.
An open circuit or short to ground can only be detected when the PCM is not grounding the
circuit.
A short to voltage can only be detected when the PCM is grounding the circuit.
During the key on engine off (KOEO) and key on engine running (KOER) self-test, the WAC
circuit is cycled on and off. Verify the A/C and the defrost were OFF during the KOEO and
KOER self-tests. Check ACCS the PID to verify. If the vehicle is not equipped with A/C,
ignore DTC P0645.",N/A,N/A,,"DTC Code: P0645
Title: Air Conditioning Clutch Relay (A/CCR) Control Circuit
System Description: Monitors the A/CCR circuit output from the powertrain control module (PCM). The test fails
when the PCM grounds the A/CCR circuit, excessive current draw is detected on the
A/CCR circuit; or, with the A/CCR circuit not grounded by the PCM, voltage is not detected
on the A/CCR circuit (the PCM expects to detect VPWR voltage coming through the A/CCR
relay coil to the A/CCR circuit).
Possible (cid:1) Open or short A/CCR circuit
Causes: (cid:1) Damaged A/CCR relay
(cid:1) Open VPWR circuit to the A/CCR relay
Diagnostic The A/CCR control circuit can be monitored using the WACF and WAC PID.
Aids: When the WACF PID reads YES, a concern is present.
An open circuit or short to ground can only be detected when the PCM is not grounding the
circuit.
A short to voltage can only be detected when the PCM is grounding the circuit.
During the key on engine off (KOEO) and key on engine running (KOER) self-test, the WAC
circuit is cycled on and off. Verify the A/C and the defrost were OFF during the KOEO and
KOER self-tests. Check ACCS the PID to verify. If the vehicle is not equipped with A/C,
ignore DTC P0645.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0657,Powertrain,Actuator Supply Voltage A Circuit/Open,Voltage to all transmission solenoids has been interrupted.,,"Refer to the Workshop Manual Section 307-01, Automatic Transmission.",,"DTC Code: P0657
Title: Actuator Supply Voltage A Circuit/Open
System Description: Voltage to all transmission solenoids has been interrupted.
Possible Causes: 
Diagnostic Steps/Aids: Refer to the Workshop Manual Section 307-01, Automatic Transmission.
Vehicle Application: "
P0660,Powertrain,Intake Manifold Tuning Valve (IMTV) Control Circuit Open - Bank 1,"The IMTV system is monitored for failure during continuous, key on engine off (KOEO), or
key on engine running (KOER) self-tests. The test fails when the signal is more or less
than an expected calibrated range.
Possible (cid:1) IMTV signal circuit open, shorted to PWR GND or SIG RTN
Causes: (cid:1) Damaged IMTV actuator
Diagnostic An IMTVM PID reading may indicate a fault.
Aids:",N/A,N/A,,"DTC Code: P0660
Title: Intake Manifold Tuning Valve (IMTV) Control Circuit Open - Bank 1
System Description: The IMTV system is monitored for failure during continuous, key on engine off (KOEO), or
key on engine running (KOER) self-tests. The test fails when the signal is more or less
than an expected calibrated range.
Possible (cid:1) IMTV signal circuit open, shorted to PWR GND or SIG RTN
Causes: (cid:1) Damaged IMTV actuator
Diagnostic An IMTVM PID reading may indicate a fault.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0663,Powertrain,Intake Manifold Tuning Valve (IMTV) Control Circuit Open - Bank 2,"The IMTV system is monitored for failure during continuous, key on engine off (KOEO), or
key on engine running (KOER) self-tests. The test fails when the signal is more or less
than an expected calibrated range.
Possible (cid:1) IMTV signal circuit open, shorted to PWR GND or SIG RTN
Causes: (cid:1) Damaged IMTV actuator
Diagnostic An IMTVM PID reading may indicate a fault.
Aids:",N/A,N/A,,"DTC Code: P0663
Title: Intake Manifold Tuning Valve (IMTV) Control Circuit Open - Bank 2
System Description: The IMTV system is monitored for failure during continuous, key on engine off (KOEO), or
key on engine running (KOER) self-tests. The test fails when the signal is more or less
than an expected calibrated range.
Possible (cid:1) IMTV signal circuit open, shorted to PWR GND or SIG RTN
Causes: (cid:1) Damaged IMTV actuator
Diagnostic An IMTVM PID reading may indicate a fault.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
